season,week,manager,pts,R,RBI,SB,BB,HBP,1B,2B,3B,HR,TB
2021,16,Howard,215,37,32,2,27,1,0,0,0,0,116
2021,16,Rich,133.5,24,21,0,18,5,0,0,0,0,62
2021,16,Rouse,249.5,39,43,4,21,2,0,0,0,0,130
2021,16,Dave,189.5,37,25,1,20,3,0,0,0,0,103
2021,17,Boyce,284.5,50,46,4,36,1,0,0,0,0,129
2021,17,Ulmer,211.5,42,28,1,29,3,0,0,0,0,105
2021,17,Garth,247,44,35,3,24,5,0,0,0,0,135
2021,17,Chris,228,35,36,9,22,3,0,0,0,0,109
2021,17,Andy,192,29,32,4,17,1,0,0,0,0,106
2021,17,Sam,199,31,33,5,17,4,0,0,0,0,99
2021,17,Howard,248.5,45,37,4,22,8,0,0,0,0,123
2021,17,Rich,153,22,29,1,13,3,0,0,0,0,82
2021,17,Rouse,279.5,50,45,5,18,4,0,0,0,0,135
2021,17,Dave,273.5,40,54,1,24,6,0,0,0,0,135
2021,18,Boyce,222,37,32,5,27,5,0,0,0,0,113
2021,18,Ulmer,261,39,47,3,30,4,0,0,0,0,130
2021,18,Garth,242.5,43,39,2,27,2,0,0,0,0,116
2021,18,Chris,253.5,44,42,1,36,1,0,0,0,0,121
2021,18,Andy,243,44,36,5,22,1,0,0,0,0,122
2021,18,Sam,264,43,43,8,29,6,0,0,0,0,116
2021,18,Howard,201,35,30,1,26,3,0,0,0,0,109
2021,18,Rich,143.5,27,20,0,20,0,0,0,0,0,77
2021,18,Rouse,274,54,33,8,35,2,0,0,0,0,128
2021,18,Dave,255.5,50,35,2,30,4,0,0,0,0,129
2021,19,Boyce,263,37,51,4,24,6,0,0,0,0,125
2021,19,Ulmer,207.5,37,31,4,33,2,0,0,0,0,91
2021,19,Garth,246.5,41,41,1,32,2,0,0,0,0,123
2021,19,Chris,228.5,35,37,4,32,5,0,0,0,0,114
2021,19,Andy,171.5,23,28,4,21,3,0,0,0,0,98
2021,19,Sam,246,39,36,10,27,3,0,0,0,0,119
2021,19,Howard,233,31,50,2,16,3,0,0,0,0,114
2021,19,Rich,204.5,30,42,4,13,6,0,0,0,0,86
2021,19,Rouse,216,44,23,5,19,5,0,0,0,0,115
2021,19,Dave,221.5,37,38,2,28,1,0,0,0,0,105
2021,20,Boyce,229,39,35,3,30,0,0,0,0,0,117
2021,20,Ulmer,261,42,43,4,27,3,0,0,0,0,134
2021,20,Garth,146.5,25,23,0,21,2,0,0,0,0,77
2021,20,Chris,172.5,27,27,5,21,4,0,0,0,0,81
2021,20,Andy,196.5,34,29,5,27,2,0,0,0,0,91
2021,20,Sam,169.5,27,22,5,29,3,0,0,0,0,84
2021,20,Howard,285,45,49,3,31,6,0,0,0,0,141
2021,20,Rich,112,20,14,4,12,1,0,0,0,0,58
2021,20,Rouse,269.5,42,47,6,21,4,0,0,0,0,134
2021,20,Dave,254.5,40,41,5,24,2,0,0,0,0,136
2021,21,Boyce,242,36,41,5,32,2,0,0,0,0,121
2021,21,Ulmer,228.5,37,40,1,15,2,0,0,0,0,128
2021,21,Garth,261.5,42,47,0,15,0,0,0,0,0,149
2021,21,Chris,314.5,52,59,4,32,6,0,0,0,0,129
2021,21,Andy,281,52,37,8,37,5,0,0,0,0,130
2021,21,Sam,275,54,40,4,32,2,0,0,0,0,124
2021,21,Howard,260.5,43,41,5,35,3,0,0,0,0,126
